Feature,Importance
Komödie,0.2823529411764706
Abenteuer,0.2529411764705882
Science Fiction,0.15294117647058825
Action,0.09411764705882353
TMDb_Rating,0.08235294117647059
Drama,0.058823529411764705
Thriller,0.041176470588235294
Liebesfilm,0.03529411764705882
Krimi,0.0
